,nome,genero
943,Sidney Lumet,M
944,Meat Loaf,M
945,Marty Feldman,M
946,John Ritter,M
947,Peter Sellers,M
948,Charles Martin Smith,M
949,Kurt Russell,M
950,Richard Gere,M
951,Jason Robards,M
952,David Carradine,M
953,Walter Hill,M
954,Gene Hackman,M
955,Richard Lester,M
956,Robert De Niro,M
957,Martin Scorsese,M
958,John Belushi,M
959,Dan Aykroyd,M
960,John Landis,M
961,Harold Ramis,M
962,Robert Hays,M
963,Jim Abrahams,M
964,Mark Hamill,M
965,Irvin Kershner,M
966,Jack Nicholson,M
967,Clint Eastwood,M
968,Stuart Rosenberg,M
969,Robert Altman,M
970,Robert Redford,M
971,William Hurt,M
972,John Travolta,M
973,Kirk Douglas,M
974,Don Taylor,M
975,Michael Cimino,M
976,Al Pacino,M
977,William Friedkin,M
978,Gene Wilder,M
979,Sidney Poitier,M
980,John Carpenter,M
981,Alan Parker,M
982,Christopher Reeve,M
983,Michael Caine,M
984,Brian De Palma,M
985,Donald Sutherland,M
986,Robin Williams,M
987,Barry Bostwick,M
988,Sam Raimi,M
989,Bob Clark,M
990,Ridley Scott,M
991,Sean Penn,M
992,Cameron Crowe,M
993,John Savage,M
994,John Schlesinger,M
995,Alan J. Pakula,M
996,Robert Duvall,M
997,Terence Young,M
998,Albert Brooks,M
999,Jack Lemmon,M
1000,Francis Veber,M
1001,Billy Wilder,M
1002,George Cukor,M
1003,Franklin J. Schaffner,M
1004,Steve Martin,M
1005,Arnold Schwarzenegger,M
1006,James Ivory,M
1007,Henry Thomas,M
1008,Taylor Hackford,M
1009,Guy Hamilton,M
1010,Richard Donner,M
1011,Ron Howard,M
1012,Barry Levinson,M
1013,George Roy Hill,M
1014,Bertil Guve,M
1015,Ingmar Bergman,M
1016,Bob Geldof,M
1017,George A. Romero,M
1018,Dustin Hoffman,M
1019,Ben Kingsley,M
1020,Richard Attenborough,M
1021,William Shatner,M
1022,Nicholas Meyer,M
1023,Nick Nolte,M
1024,Ted Kotcheff,M
1025,Bruce Campbell,M
1026,Joel Schumacher,M
1027,Klaus Kinski,M
1028,George C. Scott,M
1029,David Cronenberg,M
1030,Alan Alda,M
1031,Sean Connery,M
1032,Michael Palin,M
1033,Terry Gilliam,M
1034,James Caan,M
